  UID   PID  PPID        F CPU PRI NI       SZ    RSS WCHAN     S             ADDR TTY           TIME CMD              STIME
    0   373     1     4004   0   4  0 426958688  16128 -      Ss                  0 ??         0:03.64 /System/Library/ 10:07PM
    0   374     1     4004   0  37  0 426937008   9936 -      Ss                  0 ??         0:00.26 /System/Library/ 10:07PM
    0   375     1     4004   0   4  0 411215952   5424 -      Ss                  0 ??         0:00.07 /usr/libexec/con 10:07PM
    0   376     1     4004   0   4  0 426960352  21328 -      Ss                  0 ??         0:02.19 /usr/libexec/lsd 10:07PM
    0   377     1     4004   0   4  0 426950000   6384 -      Ss                  0 ??         0:00.13 /usr/libexec/pow 10:07PM
    0   378     1     4004   0   4  0 426957264  28896 -      Ss                  0 ??         1:12.97 /usr/libexec/air 10:07PM
  282   379     1     4004   0   4  0 426953968  13744 -      Ss                  0 ??         0:02.33 /usr/libexec/tru 10:07PM
    0   380     1     4004   0   4  0 426950880   6672 -      Ss                  0 ??         0:00.42 /System/Library/ 10:07PM
    0   381     1     4004   0   4  0 426912496   1792 -      Ss                  0 ??         0:00.02 /System/Library/ 10:07PM
    0   382     1     4004   0  20  0 426949392   5136 -      Ss                  0 ??         0:00.16 /usr/libexec/apf 10:07PM
  242   383     1     4004   0   4  0 426952800  13888 -      Ss                  0 ??         0:00.68 /usr/libexec/nsu 10:07PM
  202   384     1     4004   0  63  0 426979648  39120 -      Ss                  0 ??         0:01.38 /usr/sbin/coreau 10:07PM
    0   385     1     4004   0   4  0 426916016   2576 -      Ss                  0 ??         0:00.09 /usr/libexec/usb 10:07PM
  263   386     1     4004   0  31  0 426961360  18864 -      Ss                  0 ??         0:03.96 /System/Library/ 10:07PM
    0   387     1     4004   0  31  0 426951520  10944 -      Ss                  0 ??         0:00.15 /usr/libexec/bio 10:07PM
    0   388     1     4004   0   4  0 426950256   9712 -      Ss                  0 ??         0:01.62 /usr/libexec/neh 10:07PM
    0   389     1     4004   0   4  0 426912464   2016 -      S                   0 ??         0:00.01 /System/Library/ 10:07PM
